Matrix Size,Eigenvalue,Kinetic Difference,Log Kinetic Difference
751,1.84623093812409229471859926192116662,0.0037961239908291378518615310554869969065439701080,-2.42065961087765391113180157844908535480499267578125
752,1.84623093812220853702828255710559715,0.0037961239889453801615448262399175269065439701080,-2.420659611093164631512308915262110531330108642578125
753,1.84623093812033476949703723187163753,0.0037961239870716126302995010059579069065439701080,-2.42065961130753226626666219090111553668975830078125
754,1.84623093811847092598630686825056563,0.0037961239852077691195691373848860069065439701080,-2.420659611520764809000638706493191421031951904296875
755,1.84623093811661694088227479438683266,0.0037961239833537840155370635211530369065439701080,-2.420659611732869365141596063040196895599365234375
756,1.84623093811477274909101335284426047,0.0037961239815095922242756219785808469065439701080,-2.42065961194385348420610171160660684108734130859375
757,1.84623093811293828603368436062284501,0.0037961239796751291669466297571653869065439701080,-2.42065961215372471571072310325689613819122314453125
758,1.84623093811111348764179013293079633,0.0037961239778503307750524020651167069065439701080,-2.420659612362490609172027689055539667606353759765625
759,1.84623093810929829035247449172037609,0.0037961239760351334857367608546964669065439701080,-2.420659612570157381838953369879163801670074462890625
760,1.84623093810749263110387314227137712,0.0037961239742294742371354114056974969065439701080,-2.420659612776733471406487296917475759983062744140625
761,1.84623093810569644733051285892624336,0.0037961239724332904637751280605637369065439701080,-2.4206596129822255392127772211097180843353271484375
762,1.84623093810390967695875889053926900,0.0037961239706465200920211596735893769065439701080,-2.420659613186640246595970893395133316516876220703125
763,1.84623093810213225840231002367756455,0.0037961239688691015355722928118849269065439701080,-2.42065961338998558716184561490081250667572021484375
764,1.84623093810036413055774074345366209,0.0037961239671009736910030125879824669065439701080,-2.420659613592267778159339286503382027149200439453125
765,1.84623093809860523280008992853975025,0.0037961239653420759333521976740706269065439701080,-2.42065961379349392501580950920470058917999267578125
766,1.84623093809685550497849555161569826,0.0037961239635923481117578207500186369065439701080,-2.42065961399367068906940403394401073455810546875
767,1.84623093809511488741187483355837282,0.0037961239618517305451371026926931969065439701080,-2.4206596141928056198366903117857873439788818359375
768,1.84623093809338332088464932299875004,0.0037961239601201640179115921330704169065439701080,-2.4206596143909049345666062436066567897796630859375
769,1.84623093809166074664251437688209789,0.0037961239583975897757766460164182669065439701080,-2.420659614587975738686509430408477783203125
770,1.84623093808994710638825252264835683,0.0037961239566839495215147917826772069065439701080,-2.42065961478402424944533777306787669658660888671875
771,1.84623093808824234227759019746010128,0.0037961239549791854108524665944216569065439701080,-2.420659614979057128181239022524096071720123291015625
772,1.84623093808654639691509734270738990,0.0037961239532832400483596118417102769065439701080,-2.420659615173081480321570779778994619846343994140625
773,1.84623093808485921335012937759123599,0.0037961239515960564833916467255563669065439701080,-2.420659615366103079026061095646582543849945068359375
774,1.84623093808318073507281104247759987,0.0037961239499175782060733116119202469065439701080,-2.420659615558129029722067571128718554973602294921875
775,1.84623093808151090601006163598029412,0.0037961239482477491433239051146144969065439701080,-2.420659615749165549658528107102029025554656982421875
776,1.84623093807984967052166116299441075,0.0037961239465865136549234321287311269065439701080,-2.420659615939218411995170754380524158477783203125
777,1.84623093807819697339635691616854921,0.0037961239449338165296191853028695869065439701080,-2.42065961612829472215935311396606266498565673828125
778,1.84623093807655275984801003922494286,0.0037961239432896029812723083592632369065439701080,-2.420659616316400697400013086735270917415618896484375
779,1.84623093807491697551178158833387641,0.0037961239416538186450438574681967869065439701080,-2.42065961650354211087687872350215911865234375
780,1.84623093807328956644035765686620698,0.0037961239400264095736199260005273569065439701080,-2.420659616689725179838887925143353641033172607421875
