Matrix size,Eigenvalue 2,Adjusted Eigenvalue,Log(Adjusted Eigenvalue)
185,1.84623096919917467439478941505897950,3.15478901768532658185020593263612916233779E-8,-7.5010296796904913918524471228010952472686767578125
186,1.84623096869370063775072625379552416,3.10424161402092026572386039863612916233779E-8,-7.508044483434360927276429720222949981689453125
187,1.84623096819896788433281006567022185,3.05476833867912864691133016763612916233779E-8,-7.51502171931606799404335106373764574527740478515625
188,1.84623096771469260389957745121271366,3.00634081063580538546557934863612916233779E-8,-7.521961787625169648663359112106263637542724609375
189,1.84623096724059993775099375425146864,2.95893154402094701576945484663612916233779E-8,-7.5288650822871066026209518895484507083892822265625
190,1.84623096677642365105374075123468670,2.91251391535122171546777665263612916233779E-8,-7.5357319909974052052348270080983638763427734375
191,1.84623096632190581880354985232784757,2.86706213212620262557709273963612916233779E-8,-7.54256289535237289811675509554333984851837158203125
192,1.84623096587679652478939306069061409,2.82255120272478694641336939163612916233779E-8,-7.5493581709763741827146077412180602550506591796875
193,1.84623096544085357295705223751344555,2.77895690754155286409565253763612916233779E-8,-7.556118187645807893204619176685810089111328125
194,1.84623096501384221060043809526876833,2.73625577130589144987118481563612916233779E-8,-7.5628433094098834743590487050823867321014404296875
195,1.84623096459553486283817313475079919,2.69442503652966495381938790163612916233779E-8,-7.56953389470829396401541089289821684360504150390625
196,1.84623096418571087786045312938649973,2.65344263803189295328295795563612916233779E-8,-7.57619029648588337977344053797423839569091796875
197,1.84623096378415628245718162586409339,2.61328717849156580293071732163612916233779E-8,-7.58281286230439643958334272610954940319061279296875
198,1.84623096339066354736292156144497614,2.57393790498213979648880559663612916233779E-8,-7.589401934451405651316235889680683612823486328125
199,1.84623096300503136197740258969449285,2.53537468644358789931375726763612916233779E-8,-7.59595785004649304283930177916772663593292236328125
200,1.84623096262706441804224991703202983,2.49757799205007263204751096563612916233779E-8,-7.60248094114477535043761236011050641536712646484375
201,1.84623096225657320187534183418213260,2.46052887043338182376252124263612916233779E-8,-7.60897153483784638439146874588914215564727783203125
202,1.84623096189337379478381205584360375,2.42420892972422884592866835763612916233779E-8,-7.615429953352222725015963078476488590240478515625
203,1.84623096153728768129527187737296229,2.38860031837537482808160421163612916233779E-8,-7.62185651414535403347372266580350697040557861328125
204,1.84623096118814156486439179222078361,2.35368570673228681956638634363612916233779E-8,-7.62825152999928235431070788763463497161865234375
205,1.84623096084576719072860303246361639,2.31944826931870794359066962163612916233779E-8,-7.63461530911200814131234437809325754642486572265625
206,1.84623096051000117560243010319035561,2.28587166780609065066334354363612916233779E-8,-7.64094815518663761366724429535679519176483154296875
207,1.84623096018068484391486796988072044,2.25294003463733443733238002663612916233779E-8,-7.64725036751837539128473508753813803195953369140625
208,1.84623095985766407030835346358111790,2.22063795727668298670241977263612916233779E-8,-7.65352224107941569997137776226736605167388916015625
209,1.84623095954078912813126494288912059,2.18895046305897413463322004163612916233779E-8,-7.6597640666018111943458279711194336414337158203125
210,1.84623095922991454366857267791667787,2.15786300461270490813597576963612916233779E-8,-7.66597613065835314927198851364664733409881591796875
211,1.84623095892489895586730202682183266,2.12736144583257784302649124863612916233779E-8,-7.67215871574153940315454747178591787815093994140625
212,1.84623095862560498132487766513896671,2.09743204837833540685820465363612916233779E-8,-7.6783121003406744620178869809024035930633544921875
213,1.84623095833189908431924995898217306,2.06806145867777263624252528863612916233779E-8,-7.68443655901716038414406284573487937450408935546875
214,1.84623095804365145166997005279648017,2.03923669541284464562395599963612916233779E-8,-7.69053236247801930147716120700351893901824951171875
215,1.84623095776073587222913813649139290,2.01094513746876145399344727263612916233779E-8,-7.6965997776477106384618309675715863704681396484375
216,1.84623095748302962081040126268536114,1.98317451232688776661284409663612916233779E-8,-7.70263906773827766727436028304509818553924560546875
217,1.84623095721041334637296909701267953,1.95591288488314455004557593563612916233779E-8,-7.7086504923178811310435776249505579471588134765625
218,1.84623095694277096428596545542862108,1.92914864667444418588717009063612916233779E-8,-7.7146343073777501331278472207486629486083984375
219,1.84623095667998955250636336727526177,1.90287050549648397707183415963612916233779E-8,-7.7205907653976115767591181793250143527984619140625
220,1.84623095642195925151129161520783277,1.87706747539697680186509125963612916233779E-8,-7.7265201154096274649418774060904979705810546875
221,1.84623095616857316783266410352003074,1.85172886702911405069631105663612916233779E-8,-7.73242260306087647592221401282586157321929931640625
222,1.84623095591972728104889411624971721,1.82684427835073705196927970363612916233779E-8,-7.738298470674436657645856030285358428955078125
223,1.84623095567532035409493299236248477,1.80240358565534093958055645963612916233779E-8,-7.744147957309092333844091626815497875213623046875
224,1.84623095543525384675803650336446827,1.77839693492165129068075480963612916233779E-8,-7.7499712988177034134196219383738934993743896484375
225,1.84623095519943183223251932304045272,1.75481473346909957264835325463612916233779E-8,-7.75576872790427795933965171570889651775360107421875
226,1.84623095496776091661233709430249845,1.73164764190708134977455782763612916233779E-8,-7.7615404741797835441730057937093079090118408203125
227,1.84623095474015016120564713628624299,1.70888656636641235397293228163612916233779E-8,-7.76728676421672314944544268655590713024139404296875
228,1.84623095451651100756054907284901917,1.68652265100190254762920989963612916233779E-8,-7.7730078216025138004852124140597879886627197265625
229,1.84623095429675720509601994931997638,1.66454727075544963527630562063612916233779E-8,-7.77870386699169902300354806357063353061676025390625
230,1.84623095408080474123664503536066886,1.64295202436951214388037486863612916233779E-8,-7.7843751181570208785842623910866677761077880859375
231,1.84623095386857177395410751326426737,1.62172872764125839167073471963612916233779E-8,-7.79002179003939421164659506757743656635284423828125
232,1.84623095365997856662256483173735593,1.60086940690810412351804357563612916233779E-8,-7.79564409479678932513024847139604389667510986328125
233,1.84623095345494742509900083272506223,1.58036629275574772361681420563612916233779E-8,-7.80124224185207726378621373442001640796661376953125
234,1.84623095325340263694342681943993159,1.56021181394019032228830114163612916233779E-8,-7.806816437939840369608646142296493053436279296875
235,1.84623095305527041269740384561729504,1.54039859151558802490603748663612916233779E-8,-7.81236688715219340650719459517858922481536865234375
236,1.84623095286047882914279923386680221,1.52091943316012756373098820363612916233779E-8,-7.81789379098362946507450033095665276050567626953125
237,1.84623095266895777446596487709235406,1.50176732769244412805354338863612916233779E-8,-7.823397348374914628266196814365684986114501953125
238,1.84623095248063889525565475878881659,1.48293543977141311622318964163612916233779E-8,-7.82887775575607047784387759747914969921112060546875
239,1.84623095229545554526598139851335869,1.46441710477244578019564385163612916233779E-8,-7.8343352070884417770457730512134730815887451171875
240,1.84623095211334273587855938490521056,1.44620582383370357883482903863612916233779E-8,-7.8397698939058972911197997746057808399200439453125
