Matrix size,Lowest energy,Difference,Log
906,0.500000000041276532986910377165546284,4.1276532986910377165546284E-11,10.384296788316101860460146802896736972054814319269
907,0.500000000041140194039828208818242845,4.1140194039828208818242845E-11,10.385733664264339827689139198293457601534071084645
908,0.500000000041004454879854306578701742,4.1004454879854306578701742E-11,10.387168957313526353122960967498680377437730381271
909,0.500000000040869312212356775360000954,4.0869312212356775360000954E-11,10.388602670947363796778212720380891789529167443128
910,0.500000000040734762764396790181555197,4.0734762764396790181555197E-11,10.390034808638066592179730233253959385937079380264
911,0.500000000040600803284562137074048135,4.0600803284562137074048135E-11,10.391465373846411709448570437021609881438270365455
912,0.500000000040467430542802213041405137,4.0467430542802213041405137E-11,10.392894370021788832264774726418026052431406439840
913,0.500000000040334641330264470019411881,4.0334641330264470019411881E-11,10.394321800602250257906001972901040899357319832908
914,0.500000000040202432459132287911925437,4.0202432459132287911925437E-11,10.395747669014560529914632790500550288673441980510
915,0.500000000040070800762464262819395068,4.0070800762464262819395068E-11,10.397171978674245803611776167873005383482899808516
916,0.500000000039939743094034898672952579,3.9939743094034898672952579E-11,10.398594732985642923465022010768262921037778035272
917,0.500000000039809256328176685121319311,3.9809256328176685121319311E-11,10.400015935341948250894519024979575056480289399728
918,0.500000000039679337359623549459995458,3.9679337359623549459995458E-11,10.401435589125266229603128672702775683046117186634
919,0.500000000039549983103355672565713516,3.9549983103355672565713516E-11,10.402853697706657652866361356824251478187454638429
920,0.500000000039421190494445647784370901,3.9421190494445647784370901E-11,10.404270264446187719182861080318358424729538771848
921,0.500000000039292956487905978641645929,3.9292956487905978641645929E-11,10.405685292692973779467585828979944946876579097858
922,0.500000000039165278058537894402655838,3.9165278058537894402655838E-11,10.407098785785232864712740371818188588152871161696
923,0.500000000039038152200781477324376908,3.9038152200781477324376908E-11,10.408510747050328922044586118900719400833084713106
924,0.500000000038911575928567083330109960,3.8911575928567083330109960E-11,10.409921179804819821918528903020221688754191602476
925,0.500000000038785546275168047781867030,3.8785546275168047781867030E-11,10.411330087354504090946835046858052538593946355389
926,0.500000000038660060293054661297846305,3.8660060293054661297846305E-11,10.412737472994467400718943939486009983812600607242
927,0.500000000038535115053749402387549386,3.8535115053749402387549386E-11,10.414143340009128824654675676189220444311329514388
928,0.500000000038410707647683420194995961,3.8410707647683420194995961E-11,10.415547691672286802988477954464580300891160761944
929,0.500000000038286835184054248402116360,3.8286835184054248402116360E-11,10.416950531247164894679180304345866147785328724579
930,0.500000000038163494790684741749756314,3.8163494790684741749756314E-11,10.418351861986457280102144313064873499908058360030
931,0.500000000038040683613883224690627641,3.8040683613883224690627641E-11,10.419751687132374001024719449742019792565695358868
932,0.500000000037918398818304837267334927,3.7918398818304837267334927E-11,10.421150009916685976052123290353921995158539924784
933,0.500000000037796637586814069033747379,3.7796637586814069033747379E-11,10.422546833560769766322010895381749520180559672205
934,0.500000000037675397120348469275474992,3.7675397120348469275474992E-11,10.423942161275652096479820323463023830157887422362
935,0.500000000037554674637783519904042409,3.7554674637783519904042409E-11,10.425335996262054159213871322430638360397466459315
936,0.500000000037434467375798664168574078,3.7434467375798664168574078E-11,10.426728341710435655172857196319212395938650935565
937,0.500000000037314772588744476540424727,3.7314772588744476540424727E-11,10.428119200801038610826672634609214188121581546388
938,0.500000000037195587548510963268492000,3.7195587548510963268492000E-11,10.429508576703930970893102269747011304842107058507
939,0.500000000037076909544396984985592177,3.7076909544396984985592177E-11,10.430896472579049941123149088032495866607818130009
940,0.500000000036958735882980787410411276,3.6958735882980787410411276E-11,10.432282891576245120618782345821927515942372467258
941,0.500000000036841063887991633901627920,3.6841063887991633901627920E-11,10.433667836835321374243566318462780639960813921069
942,0.500000000036723890900182523309896567,3.6723890900182523309896567E-11,10.435051311486081517633688631176575982061203897298
943,0.500000000036607214277203988531224357,3.6607214277203988531224357E-11,10.436433318648368748583641306100992916197496899260
944,0.500000000036491031393478963455733284,3.6491031393478963455733284E-11,10.437813861432108849891878623034252114345543993669
945,0.500000000036375339640078705767313304,3.6375339640078705767313304E-11,10.439192942937352193496038992628719420475065503499
946,0.500000000036260136424599769335904953,3.6260136424599769335904953E-11,10.440570566254315502433119003029326495530212827912
947,0.500000000036145419171042014336860526,3.6145419171042014336860526E-11,10.441946734463423394646958099403435882568447008010
948,0.500000000036031185319687644956528528,3.6031185319687644956528528E-11,10.443321450635349713710850087662336402688576217107
949,0.500000000035917432326981265526673595,3.5917432326981265526673595E-11,10.444694717831058640975516878556508575985833117230
950,0.500000000035804157665410945777637830,3.5804157665410945777637830E-11,10.446066539101845586560062102128346356273739525761
951,0.500000000035691358823390284676944634,3.5691358823390284676944634E-11,10.447436917489377872608813276993386009701918003062
952,0.500000000035579033305141465385823409,3.5579033305141465385823409E-11,10.448805856025735186331691201865134804599294908976
953,0.500000000035467178630579288492800344,3.5467178630579288492800344E-11,10.450173357733449846738451657906531132683581042910
954,0.500000000035355792335196178162506619,3.5355792335196178162506619E-11,10.451539425625546839377847280031418867780050073856
955,0.500000000035244871969948149532591819,3.5244871969948149532591819E-11,10.452904062705583651074362636783033623278971122854
956,0.500000000035134415101141730230921306,3.5134415101141730230921306E-11,10.454267271967689882494954862703635774643488477179
957,0.500000000035024419310321823165674411,3.5024419310321823165674411E-11,10.455629056396606687866624690298565491903043677886
958,0.500000000034914882194160508896293249,3.4914882194160508896293249E-11,10.456989418967725954769442817074819974449555347413
959,0.500000000034805801364346769544802460,3.4805801364346769544802460E-11,10.458348362647129339832779521569394617116704282360
960,0.500000000034697174447477134530933414,3.4697174447477134530933414E-11,10.459705890391627050827972776362314045183477988194
961,0.500000000034588999084947232562754054,3.4588999084947232562754054E-11,10.461062005148796463011243222705602969883913858478
