Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Log(Original - Constant),Error,Formula
756,0.20832141853834402,0.2073557804113232,0.0018665505407474692,-2.7289602461499083,0.004656914435205675,0.00283exp(-x^-23.60880) + 0.20549
757,0.20832141853834402,0.2073543981024958,0.0018651682319200946,-2.729281990182642,0.004663611887172044,0.00283exp(-x^-23.60880) + 0.20549
758,0.20832141853834402,0.2073530182709794,0.0018637884004036875,-2.729603395497838,0.004670297425326389,0.00283exp(-x^-23.60880) + 0.20549
759,0.20832141853834402,0.2073516409094049,0.0018624110388291704,-2.7299244628848083,0.0046769710848964955,0.00283exp(-x^-23.60880) + 0.20549
760,0.20832141853834402,0.2073502660096186,0.001861036139042871,-2.730245193320329,0.004683632904914516,0.00283exp(-x^-23.60880) + 0.20549
761,0.20832141853834402,0.2073488935638,0.001859663693224295,-2.730565587708279,0.004690282922801145,0.00283exp(-x^-23.60880) + 0.20549
762,0.20832141853834402,0.2073475235646524,0.0018582936940766681,-2.7308856468348237,0.004696921173442243,0.00283exp(-x^-23.60880) + 0.20549
763,0.20832141853834402,0.2073461560033767,0.0018569261328009734,-2.7312053718417943,0.004703547699005534,0.00283exp(-x^-23.60880) + 0.20549
764,0.20832141853834402,0.2073447908739347,0.0018555610033589853,-2.7315247632302175,0.004710162528284113,0.00283exp(-x^-23.60880) + 0.20549
765,0.20832141853834402,0.2073434281673807,0.0018541982968049708,-2.731843822185581,0.004716765704162237,0.00283exp(-x^-23.60880) + 0.20549
766,0.20832141853834402,0.207342067875508,0.0018528380049322724,-2.7321625497256,0.004723357265945887,0.00283exp(-x^-23.60880) + 0.20549
767,0.20832141853834402,0.2073407100044437,0.0018514801338679887,-2.732480943510729,0.004729937183485536,0.00283exp(-x^-23.60880) + 0.20549
768,0.20832141853834402,0.2073393545093058,0.0018501246387300774,-2.732799013170306,0.004736505673813816,0.00283exp(-x^-23.60880) + 0.20549
769,0.20832141853834402,0.2073380014190996,0.001848771548523892,-2.733116751006962,0.004743062595923217,0.00283exp(-x^-23.60880) + 0.20549
770,0.20832141853834402,0.2073366507147626,0.0018474208441868756,-2.7334341606025863,0.004749608041735895,0.00283exp(-x^-23.60880) + 0.20549
771,0.20832141853834402,0.2073353023879253,0.001846072517349584,-2.733751243035899,0.004756142051360296,0.00283exp(-x^-23.60880) + 0.20549
772,0.20832141853834402,0.2073339564315284,0.001844726560952692,-2.734067999082253,0.004762664658558781,0.00283exp(-x^-23.60880) + 0.20549
773,0.20832141853834402,0.2073326128382216,0.0018433829676458846,-2.7343844295897304,0.004769175898506442,0.00283exp(-x^-23.60880) + 0.20549
774,0.20832141853834402,0.207331271601218,0.0018420417306422854,-2.7347005352779425,0.004775675803650433,0.00283exp(-x^-23.60880) + 0.20549
775,0.20832141853834402,0.207329932711845,0.001840702841269276,-2.7350163173154103,0.004782164415579234,0.00283exp(-x^-23.60880) + 0.20549
776,0.20832141853834402,0.2073285961641076,0.0018393662935318744,-2.7353317762437146,0.004788641762907474,0.00283exp(-x^-23.60880) + 0.20549
777,0.20832141853834402,0.2073272619252602,0.0018380320546844686,-2.735646918928584,0.004795108003896831,0.00283exp(-x^-23.60880) + 0.20549
778,0.20832141853834402,0.2073259300620393,0.0018367001914635916,-2.73596172873461,0.004801562814679384,0.00283exp(-x^-23.60880) + 0.20549
779,0.20832141853834402,0.2073246004945405,0.0018353706239647716,-2.7362762236789138,0.004808006582073584,0.00283exp(-x^-23.60880) + 0.20549
780,0.20832141853834402,0.2073232732386473,0.0018340433680715806,-2.7365903991504608,0.004814439228671471,0.00283exp(-x^-23.60880) + 0.20549
781,0.20832141853834402,0.2073219482876228,0.0018327184170470745,-2.7369042558870036,0.004820860786696034,0.00283exp(-x^-23.60880) + 0.20549
782,0.20832141853834402,0.20732062562504,0.0018313957544642823,-2.7372177969281335,0.004827271335337613,0.00283exp(-x^-23.60880) + 0.20549
783,0.20832141853834402,0.2073193052733905,0.001830075402814768,-2.7375310160882904,0.00483367076516126,0.00283exp(-x^-23.60880) + 0.20549
784,0.20832141853834402,0.2073179871951856,0.001828757324609881,-2.7378439214100188,0.004840059257442566,0.00283exp(-x^-23.60880) + 0.20549
785,0.20832141853834402,0.2073166713941238,0.001827441523548079,-2.7381565111726798,0.004846436793836629,0.00283exp(-x^-23.60880) + 0.20549
786,0.20832141853834402,0.2073153578996931,0.0018261280291173854,-2.738468777519119,0.004852803230996917,0.00283exp(-x^-23.60880) + 0.20549
787,0.20832141853834402,0.2073140465949771,0.001824816724401379,-2.7387807474146895,0.00485915913519835,0.00283exp(-x^-23.60880) + 0.20549
788,0.20832141853834402,0.2073127375826589,0.0018235077120831722,-2.739092395603239,0.004865504008324376,0.00283exp(-x^-23.60880) + 0.20549
789,0.20832141853834402,0.2073114308198612,0.0018222009492854796,-2.7394037314499635,0.0048718380577886505,0.00283exp(-x^-23.60880) + 0.20549
790,0.20832141853834402,0.2073101262993954,0.0018208964288196905,-2.7397147558367623,0.0048781613180250965,0.00283exp(-x^-23.60880) + 0.20549
791,0.20832141853834402,0.2073088240139647,0.001819594143388975,-2.7400254696756416,0.004884473823994646,0.00283exp(-x^-23.60880) + 0.20549
792,0.20832141853834402,0.2073075239573515,0.001818294086775779,-2.7403358736251784,0.00489077560542908,0.00283exp(-x^-23.60880) + 0.20549
793,0.20832141853834402,0.207306226122482,0.0018169962519062888,-2.740645968552227,0.004897066696213008,0.00283exp(-x^-23.60880) + 0.20549
794,0.20832141853834402,0.2073049304644418,0.0018157005938660709,-2.7409557643788816,0.004903347313664505,0.00283exp(-x^-23.60880) + 0.20549
795,0.20832141853834402,0.2073036370916957,0.0018144072211199735,-2.7412652343445525,0.004909616931603251,0.00283exp(-x^-23.60880) + 0.20549
796,0.20832141853834402,0.2073023458822972,0.0018131160117214884,-2.7415744068043453,0.004915876140762162,0.00283exp(-x^-23.60880) + 0.20549
797,0.20832141853834402,0.2073010568680859,0.0018118269975101742,-2.7418832733334124,0.004922124786403872,0.00283exp(-x^-23.60880) + 0.20549
798,0.20832141853834402,0.2072997700350878,0.00181054016451207,-2.7421918364738787,0.004928362935874473,0.00283exp(-x^-23.60880) + 0.20549
799,0.20832141853834402,0.2072984853985053,0.0018092555279295708,-2.742500091773269,0.004934590515083924,0.00283exp(-x^-23.60880) + 0.20549
800,0.20832141853834402,0.2072972029298944,0.0018079730593186794,-2.7428080452524743,0.004940807661529313,0.00283exp(-x^-23.60880) + 0.20549
801,0.20832141853834402,0.2072959226298744,0.0018066927592986781,-2.743115695964889,0.004947014371819734,0.00283exp(-x^-23.60880) + 0.20549
802,0.20832141853834402,0.2072946444922448,0.0018054146216690825,-2.743423044603381,0.004953210675626639,0.00283exp(-x^-23.60880) + 0.20549
803,0.20832141853834402,0.2072933684449222,0.00180413857434647,-2.743730107723856,0.0049593969220244555,0.00283exp(-x^-23.60880) + 0.20549
804,0.20832141853834402,0.2072920946779984,0.0018028648074226716,-2.7440368387749148,0.004965572189062728,0.00283exp(-x^-23.60880) + 0.20549
805,0.20832141853834402,0.2072908229887107,0.001801593118134992,-2.744343285777297,0.004971737459354067,0.00283exp(-x^-23.60880) + 0.20549
806,0.20832141853834402,0.207289553435611,0.001800323565035289,-2.744649433851789,0.004977892448658929,0.00283exp(-x^-23.60880) + 0.20549
807,0.20832141853834402,0.2072882860127327,0.001799056142156974,-2.744955283653598,0.004984037185525593,0.00283exp(-x^-23.60880) + 0.20549
808,0.20832141853834402,0.2072870207129942,0.0017977908424184896,-2.7452608361107367,0.0049901717039100915,0.00283exp(-x^-23.60880) + 0.20549
809,0.20832141853834402,0.207285757531822,0.0017965276612462722,-2.7455660915491538,0.0049962960256110895,0.00283exp(-x^-23.60880) + 0.20549
810,0.20832141853834402,0.2072844964612939,0.0017952665907181864,-2.7458710511073705,0.005002410188664234,0.00283exp(-x^-23.60880) + 0.20549
811,0.20832141853834402,0.2072832374952762,0.0017940076247004721,-2.74617571549577,0.005008514222436754,0.00283exp(-x^-23.60880) + 0.20549
812,0.20832141853834402,0.2072819806281268,0.001792750757551087,-2.7464800853091966,0.005014608153913821,0.00283exp(-x^-23.60880) + 0.20549
813,0.20832141853834402,0.2072807258537695,0.0017914959831937805,-2.746784161251,0.0050206920121878395,0.00283exp(-x^-23.60880) + 0.20549
814,0.20832141853834402,0.2072794731658202,0.0017902432952444924,-2.747087944102745,0.005026765827845705,0.00283exp(-x^-23.60880) + 0.20549
815,0.20832141853834402,0.2072782225574971,0.0017889926869213701,-2.747391434746314,0.005032829633405194,0.00283exp(-x^-23.60880) + 0.20549
816,0.20832141853834402,0.2072769740229398,0.0017877441523640736,-2.7476946338437527,0.0050388834569180556,0.00283exp(-x^-23.60880) + 0.20549
817,0.20832141853834402,0.2072757275568723,0.0017864976862965731,-2.747997541918458,0.0050449273236047795,0.00283exp(-x^-23.60880) + 0.20549
818,0.20832141853834402,0.2072744831731097,0.0017852533025339845,-2.7483001548525725,0.005050961166116832,0.00283exp(-x^-23.60880) + 0.20549
819,0.20832141853834402,0.2072732408033642,0.0017840109327884879,-2.748602488505208,0.005056985315215845,0.00283exp(-x^-23.60880) + 0.20549
820,0.20832141853834402,0.20727200050409,0.0017827706335142857,-2.748904528393209,0.005062999496805189,0.00283exp(-x^-23.60880) + 0.20549
821,0.20832141853834402,0.2072707622224814,0.0017815323519056736,-2.749206286629531,0.005069003966583892,0.00283exp(-x^-23.60880) + 0.20549
822,0.20832141853834402,0.2072695260306781,0.0017802961601023903,-2.7495077448824965,0.005074998374388219,0.00283exp(-x^-23.60880) + 0.20549
823,0.20832141853834402,0.207268291844668,0.0017790619740922775,-2.749808922889939,0.005080983127246787,0.00283exp(-x^-23.60880) + 0.20549
824,0.20832141853834402,0.2072670596845071,0.0017778298139313753,-2.7501098150238565,0.005086958127556894,0.00283exp(-x^-23.60880) + 0.20549
825,0.20832141853834402,0.2072658295921546,0.0017765997215788698,-2.7504104102878304,0.00509292317149698,0.00283exp(-x^-23.60880) + 0.20549
826,0.20832141853834402,0.2072646014176405,0.0017753715470647802,-2.7507107446065504,0.005098878985968375,0.00283exp(-x^-23.60880) + 0.20549
827,0.20832141853834402,0.2072633752994787,0.0017741454289029734,-2.751010783387387,0.0051048248989313165,0.00283exp(-x^-23.60880) + 0.20549
828,0.20832141853834402,0.2072621511840814,0.0017729213135056765,-2.7513105390006705,0.005110761169905188,0.00283exp(-x^-23.60880) + 0.20549
829,0.20832141853834402,0.2072609290648395,0.0017716991942637872,-2.751610012336588,0.005116687830598056,0.00283exp(-x^-23.60880) + 0.20549
830,0.20832141853834402,0.2072597089363857,0.0017704790658099878,-2.751909203984636,0.005122604906697912,0.00283exp(-x^-23.60880) + 0.20549
831,0.20832141853834402,0.2072584907925162,0.001769260921940491,-2.7522081147427153,0.005128512427951097,0.00283exp(-x^-23.60880) + 0.20549
832,0.20832141853834402,0.2072572746293391,0.0017680447587633819,-2.7525067448444926,0.0051344104128940304,0.00283exp(-x^-23.60880) + 0.20549
833,0.20832141853834402,0.2072560604376587,0.0017668305670829887,-2.752805095829406,0.005140298905786461,0.00283exp(-x^-23.60880) + 0.20549
834,0.20832141853834402,0.2072548482148104,0.0017656183442346929,-2.753103167636096,0.005146177919216408,0.00283exp(-x^-23.60880) + 0.20549
835,0.20832141853834402,0.2072536379546793,0.0017644080841035803,-2.7534009610537225,0.005152047482506495,0.00283exp(-x^-23.60880) + 0.20549
836,0.20832141853834402,0.2072524296872132,0.001763199816637473,-2.753698467992407,0.005157907450079841,0.00283exp(-x^-23.60880) + 0.20549
837,0.20832141853834402,0.2072512232970478,0.0017619934264720694,-2.753995716157928,0.005163758381113852,0.00283exp(-x^-23.60880) + 0.20549
838,0.20832141853834402,0.207250018888932,0.0017607890183562735,-2.7542926790429325,0.005169599767256002,0.00283exp(-x^-23.60880) + 0.20549
839,0.20832141853834402,0.2072488164387241,0.0017595865681483691,-2.7545893618811883,0.0051754317252617876,0.00283exp(-x^-23.60880) + 0.20549
840,0.20832141853834402,0.2072476158873178,0.0017583860167420806,-2.7548857785579255,0.005181254541475898,0.00283exp(-x^-23.60880) + 0.20549
841,0.20832141853834402,0.2072464172816883,0.0017571874111125818,-2.755181916779312,0.005187067987740315,0.00283exp(-x^-23.60880) + 0.20549
842,0.20832141853834402,0.2072452205995954,0.0017559907290196908,-2.755477781337786,0.005192872171599351,0.00283exp(-x^-23.60880) + 0.20549
843,0.20832141853834402,0.2072440258353145,0.0017547959647387923,-2.7557733729528064,0.005198667120497124,0.00283exp(-x^-23.60880) + 0.20549
844,0.20832141853834402,0.2072428329831698,0.0017536031125940932,-2.756068692335073,0.005204452861642734,0.00283exp(-x^-23.60880) + 0.20549
845,0.20832141853834402,0.2072416420375174,0.0017524121669416914,-2.756363740190681,0.005210229422092364,0.00283exp(-x^-23.60880) + 0.20549
846,0.20832141853834402,0.2072404529937742,0.0017512231231984754,-2.7566585169659343,0.005215996823758616,0.00283exp(-x^-23.60880) + 0.20549
847,0.20832141853834402,0.2072392658458021,0.0017500359752263828,-2.7569530234955835,0.005221755096097953,0.00283exp(-x^-23.60880) + 0.20549
848,0.20832141853834402,0.2072380805882503,0.0017488507176745827,-2.7572472604224982,0.005227504264750159,0.00283exp(-x^-23.60880) + 0.20549
849,0.20832141853834402,0.2072368972161171,0.0017476673455413816,-2.7575412283058713,0.005233244353663157,0.00283exp(-x^-23.60880) + 0.20549
850,0.20832141853834402,0.2072357157239242,0.001746485853348495,-2.7578349278262593,0.005238975389098265,0.00283exp(-x^-23.60880) + 0.20549
851,0.20832141853834402,0.2072345360973915,0.0017453062268157904,-2.7581283618576036,0.005244697440014144,0.00283exp(-x^-23.60880) + 0.20549
852,0.20832141853834402,0.2072333583580803,0.001744128487504576,-2.758421524358283,0.005250410401512935,0.00283exp(-x^-23.60880) + 0.20549
853,0.20832141853834402,0.2072321824734392,0.0017429526028634734,-2.758714422755027,0.005256114431186052,0.00283exp(-x^-23.60880) + 0.20549
854,0.20832141853834402,0.2072310084481255,0.0017417785775497852,-2.759007055218332,0.00526180950613608,0.00283exp(-x^-23.60880) + 0.20549
855,0.20832141853834402,0.207229836254561,0.0017406063839852937,-2.759299427958067,0.005267495759838876,0.00283exp(-x^-23.60880) + 0.20549
856,0.20832141853834402,0.2072286659443031,0.0017394360737273684,-2.7595915274439027,0.005273172941887438,0.00283exp(-x^-23.60880) + 0.20549
857,0.20832141853834402,0.2072274974726246,0.0017382676020488708,-2.7598833641664284,0.005278841268948577,0.00283exp(-x^-23.60880) + 0.20549
858,0.20832141853834402,0.2072263308023993,0.001737100931823582,-2.760174946745449,0.005284500920826212,0.00283exp(-x^-23.60880) + 0.20549
859,0.20832141853834402,0.2072251660214766,0.0017359361509008686,-2.760466252558936,0.005290151471051616,0.00283exp(-x^-23.60880) + 0.20549
