Matrix size,Predicted Coefficient,Original Coefficient,Original - Constant,Error,Formula
138,0.2103816730745458,0.2099306868567136,0.004440686856713588,0.002148262479320271,0.15552exp(-x^0.25187) + 0.20549
139,0.2103509686901678,0.2099148346193078,0.004424834619307788,0.00207767150735664,0.15552exp(-x^0.25187) + 0.20549
140,0.2103206203015348,0.2098991563478068,0.004409156347806781,0.0020079354346219974,0.15552exp(-x^0.25187) + 0.20549
141,0.21029062162025752,0.2098836487987037,0.0043936487987036865,0.0019390401485927665,0.15552exp(-x^0.25187) + 0.20549
142,0.21026096650903567,0.2098683088149874,0.0043783088149873806,0.0018709718311707326,0.15552exp(-x^0.25187) + 0.20549
143,0.21023164897705168,0.2098531333230113,0.004363133323011303,0.001803716952168412,0.15552exp(-x^0.25187) + 0.20549
144,0.2102026631755346,0.2098381193249754,0.004348119324975391,0.001737262284526263,0.15552exp(-x^0.25187) + 0.20549
145,0.2101740033934869,0.2098232638994201,0.004333263899420098,0.0016715948820381179,0.15552exp(-x^0.25187) + 0.20549
146,0.21014566405356705,0.2098085641985838,0.004318564198583785,0.0016067020727723643,0.15552exp(-x^0.25187) + 0.20549
147,0.2101176397081214,0.2097940174514406,0.0043040174514406004,0.0015425714260688568,0.15552exp(-x^0.25187) + 0.20549
148,0.21008992503535878,0.2097796209418862,0.004289620941886202,0.00147919083884004,0.15552exp(-x^0.25187) + 0.20549
149,0.21006251483566196,0.2097653720417043,0.004275372041704306,0.001416548360987693,0.15552exp(-x^0.25187) + 0.20549
150,0.2100354040280301,0.2097512681028586,0.004261268102858595,0.0013546326930054615,0.15552exp(-x^0.25187) + 0.20549
151,0.21000858764664673,0.2097373068091093,0.004247306809109286,0.0012934314913481033,0.15552exp(-x^0.25187) + 0.20549
152,0.20998206083756837,0.2097234855417241,0.004233485541724091,0.001232934381079765,0.15552exp(-x^0.25187) + 0.20549
153,0.20995581885552814,0.2097098018916038,0.004219801891603786,0.001173130496072414,0.15552exp(-x^0.25187) + 0.20549
154,0.20992985706085035,0.2096962536037355,0.004206253603735499,0.0011140087297710477,0.15552exp(-x^0.25187) + 0.20549
155,0.20990417091647123,0.2096828383727927,0.00419283837279269,0.0010555586971072606,0.15552exp(-x^0.25187) + 0.20549
156,0.20987875598506156,0.2096695539660542,0.004179553966054184,0.0009977701342429564,0.15552exp(-x^0.25187) + 0.20549
157,0.20985360792624688,0.2096563982174133,0.004166398217413297,0.0009406329141888281,0.15552exp(-x^0.25187) + 0.20549
158,0.20982872249392198,0.2096433689970933,0.0041533689970932874,0.0008841371788451771,0.15552exp(-x^0.25187) + 0.20549
159,0.20980409553365525,0.2096304642288595,0.004140464228859497,0.0008282732447045169,0.15552exp(-x^0.25187) + 0.20549
160,0.20977972298017977,0.2096176818311328,0.004127681831132796,0.0007730318722707305,0.15552exp(-x^0.25187) + 0.20549
161,0.20975560085496764,0.2096050199927676,0.004115019992767588,0.0007184029380844058,0.15552exp(-x^0.25187) + 0.20549
162,0.20973172526388414,0.2095924766060702,0.004102476606070188,0.0006643781306886746,0.15552exp(-x^0.25187) + 0.20549
163,0.20970809239491905,0.2095800498371549,0.0040900498371548855,0.0006109482169875091,0.15552exp(-x^0.25187) + 0.20549
164,0.20968469851599153,0.2095677378287636,0.0040777378287635835,0.0005581044508077303,0.15552exp(-x^0.25187) + 0.20549
165,0.2096615399728264,0.2095555387775537,0.0040655387775536955,0.0005058381939750634,0.15552exp(-x^0.25187) + 0.20549
166,0.20963861318689875,0.2095434509104214,0.004053450910421391,0.00045414101974502693,0.15552exp(-x^0.25187) + 0.20549
167,0.20961591465344406,0.2095314724092961,0.004041472409296087,0.00040300506256655015,0.15552exp(-x^0.25187) + 0.20549
168,0.20959344093953214,0.2095196018432063,0.004029601843206304,0.0003524209461847192,0.15552exp(-x^0.25187) + 0.20549
169,0.20957118868220165,0.2095078372922917,0.004017837292291687,0.00030238195729914854,0.15552exp(-x^0.25187) + 0.20549
170,0.20954915458665335,0.2094961772267032,0.004006177226703184,0.00025287984082322394,0.15552exp(-x^0.25187) + 0.20549
171,0.20952733542450017,0.209484620147715,0.003994620147714983,0.00020390650518905298,0.15552exp(-x^0.25187) + 0.20549
172,0.20950572803207132,0.2094731642994806,0.0039831642994805905,0.0001554553906684088,0.15552exp(-x^0.25187) + 0.20549
173,0.20948432930876915,0.2094618082222328,0.003971808222232781,0.0001075188203878426,0.15552exp(-x^0.25187) + 0.20549
