Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
133,0.21221308535265848,0.2100126772090143,0.010477501515083526,-108.59067 x^0.00003 + 108.81698
134,0.21219149534124426,0.2099959033768771,0.010455403791505228,-108.59067 x^0.00003 + 108.81698
135,0.21217006584758735,0.209979320975015,0.010433145808834263,-108.59067 x^0.00003 + 108.81698
136,0.21214879450243984,0.2099629266235055,0.010410732571154971,-108.59067 x^0.00003 + 108.81698
137,0.21212767898860818,0.2099467163853656,0.010388172012365896,-108.59067 x^0.00003 + 108.81698
138,0.21210671703946105,0.2099306868567136,0.010365469743033245,-108.59067 x^0.00003 + 108.81698
139,0.21208590643740877,0.2099148346193078,0.010342631677453057,-108.59067 x^0.00003 + 108.81698
140,0.21206524501265278,0.2098991563478068,0.010319663511447112,-108.59067 x^0.00003 + 108.81698
141,0.2120447306416935,0.2098836487987037,0.010296570768418743,-108.59067 x^0.00003 + 108.81698
142,0.2120243612459518,0.2098683088149874,0.01027335877026161,-108.59067 x^0.00003 + 108.81698
143,0.21200413479074598,0.2098531333230113,0.010250032647469664,-108.59067 x^0.00003 + 108.81698
144,0.2119840492838847,0.2098381193249754,0.010226597368545375,-108.59067 x^0.00003 + 108.81698
145,0.21196410277448763,0.2098232638994201,0.010203057731928844,-108.59067 x^0.00003 + 108.81698
146,0.21194429335194798,0.2098085641985838,0.010179418373707175,-108.59067 x^0.00003 + 108.81698
147,0.21192461914480987,0.2097940174514406,0.010155683747571184,-108.59067 x^0.00003 + 108.81698
148,0.21190507831961725,0.2097796209418862,0.010131858224302154,-108.59067 x^0.00003 + 108.81698
149,0.21188566907999018,0.2097653720417043,0.010107945928579302,-108.59067 x^0.00003 + 108.81698
150,0.21186638966558746,0.2097512681028586,0.01008395125264101,-108.59067 x^0.00003 + 108.81698
151,0.2118472383511829,0.2097373068091093,0.01005987715859227,-108.59067 x^0.00003 + 108.81698
152,0.21182821344564218,0.2097234855417241,0.010035728227963997,-108.59067 x^0.00003 + 108.81698
153,0.211809313291198,0.2097098018916038,0.010011508192065465,-108.59067 x^0.00003 + 108.81698
154,0.21179053626239863,0.2096962536037355,0.00998722019431357,-108.59067 x^0.00003 + 108.81698
155,0.2117718807653972,0.2096828383727927,0.009962867771230916,-108.59067 x^0.00003 + 108.81698
156,0.21175334523712763,0.2096695539660542,0.009938454256505034,-108.59067 x^0.00003 + 108.81698
157,0.21173492814438077,0.2096563982174133,0.009913982805390175,-108.59067 x^0.00003 + 108.81698
