Matrix size,Predicted Coefficient,Original Coefficient,Error,Formula
202,5.339312554208246e+87,0.2091700723410054,2.552617826465959e+88,1.00000exp(1.00000x) + 1.00000
203,1.4513756292567526e+88,0.2091611365324548,6.939031090183179e+88,1.00000exp(1.00000x) + 1.00000
204,3.945247999276943e+88,0.2091522658329276,1.8863042117021273e+89,1.00000exp(1.00000x) + 1.00000
205,1.0724295945198918e+89,0.2091434594248842,5.127722365638046e+89,1.00000exp(1.00000x) + 1.00000
206,2.9151658790851237e+89,0.2091347165094048,1.3939177233417525e+90,1.00000exp(1.00000x) + 1.00000
207,7.924242436060931e+89,0.2091260362969987,3.789218490617305e+90,1.00000exp(1.00000x) + 1.00000
208,2.1540324218248465e+90,0.2091174180135203,1.0300588264175964e+91,1.00000exp(1.00000x) + 1.00000
209,5.855267190158109e+90,0.2091088608997464,2.8001047707707205e+91,1.00000exp(1.00000x) + 1.00000
210,1.5916266403779241e+91,0.2091003642073603,7.611783204736757e+91,1.00000exp(1.00000x) + 1.00000
211,4.326489774230631e+91,0.2090919272344964,2.0691806859566015e+92,1.00000exp(1.00000x) + 1.00000
212,1.1760618534305e+92,0.2090835491646984,5.624841639282188e+92,1.00000exp(1.00000x) + 1.00000
213,3.196867565323994e+92,0.2090752293841527,1.5290513250855277e+93,1.00000exp(1.00000x) + 1.00000
214,8.689987010810322e+92,0.2090669671595793,4.1565566903629105e+93,1.00000exp(1.00000x) + 1.00000
215,2.3621833781030834e+93,0.2090587618075629,1.1299135983008722e+94,1.00000exp(1.00000x) + 1.00000
216,6.421080152185614e+93,0.2090506126546668,3.071543331371467e+94,1.00000exp(1.00000x) + 1.00000
217,1.7454305496765193e+94,0.2090425190363849,8.349643688386277e+94,1.00000exp(1.00000x) + 1.00000
218,4.744572146022966e+94,0.2090344802995665,2.2697557547556452e+95,1.00000exp(1.00000x) + 1.00000
219,1.2897084248347162e+95,0.2090264958045221,6.170071501561357e+95,1.00000exp(1.00000x) + 1.00000
220,3.505790975238748e+95,0.2090185649202058,1.6772629630181923e+96,1.00000exp(1.00000x) + 1.00000
221,9.529727902367202e+95,0.2090106870255511,4.559445279083846e+96,1.00000exp(1.00000x) + 1.00000
222,2.5904486187163903e+96,0.2090028615094848,1.2394321302624044e+97,1.00000exp(1.00000x) + 1.00000
223,7.041569407813597e+96,0.2089950877742458,3.3692511545629355e+97,1.00000exp(1.00000x) + 1.00000
224,1.9140970165092822e+97,0.2089873652718541,9.15891261665218e+97,1.00000exp(1.00000x) + 1.00000
225,5.2030551378848545e+97,0.2089796932831148,2.4897419726021066e+98,1.00000exp(1.00000x) + 1.00000
226,1.4143370233782872e+98,0.2089720713750784,6.768067206644717e+98,1.00000exp(1.00000x) + 1.00000
227,3.844566629966054e+98,0.2089644989388688,1.8398180789028462e+99,1.00000exp(1.00000x) + 1.00000
228,1.0450615608536755e+99,0.2089569754203476,5.001324118285024e+99,1.00000exp(1.00000x) + 1.00000
229,2.840771850489593e+99,0.2089495002721244,1.3595494829085147e+100,1.00000exp(1.00000x) + 1.00000
230,7.722018499983836e+99,0.208942072900051,3.695770025062267e+100,1.00000exp(1.00000x) + 1.00000
231,2.0990622567530634e+100,0.2089346929551496,1.0046499348979123e+101,1.00000exp(1.00000x) + 1.00000
232,5.705842789336087e+100,0.2089273597361798,2.7310175156289072e+101,1.00000exp(1.00000x) + 1.00000
233,1.551008877029636e+101,0.2089200727921126,7.423934217048537e+101,1.00000exp(1.00000x) + 1.00000
234,4.216079246208329e+101,0.2089128316174333,2.0181044953375218e+102,1.00000exp(1.00000x) + 1.00000
235,1.146049160231141e+102,0.2089056357169271,5.485965739019454e+102,1.00000exp(1.00000x) + 1.00000
236,3.115284606777059e+102,0.2088984846004931,1.4912911468624916e+103,1.00000exp(1.00000x) + 1.00000
237,8.468221537080262e+102,0.2088913777875821,4.0538875403902235e+103,1.00000exp(1.00000x) + 1.00000
238,2.30190127236108e+103,0.2088843147565584,1.1019981443048045e+104,1.00000exp(1.00000x) + 1.00000
239,6.25721639956588e+103,0.2088772951800308,2.9956421994898016e+104,1.00000exp(1.00000x) + 1.00000
240,1.700887763567586e+104,0.208870318459454,8.143271749249347e+104,1.00000exp(1.00000x) + 1.00000
241,4.6234922999541146e+104,0.2088633841728753,2.2136442528036748e+105,1.00000exp(1.00000x) + 1.00000
242,1.2567955102985587e+105,0.2088564919169797,6.01750751802407e+105,1.00000exp(1.00000x) + 1.00000
243,3.416324397733485e+105,0.2088496412418644,1.6357817889555823e+106,1.00000exp(1.00000x) + 1.00000
244,9.286532530480224e+105,0.2088428316291031,4.4466608971155645e+106,1.00000exp(1.00000x) + 1.00000
245,2.5243412626998188e+106,0.2088360627260688,1.2087669293071323e+107,1.00000exp(1.00000x) + 1.00000
246,6.861870983226278e+106,0.2088293341547549,3.2858750476794724e+107,1.00000exp(1.00000x) + 1.00000
247,1.8652499202934394e+107,0.2088226454233639,8.932220528630215e+107,1.00000exp(1.00000x) + 1.00000
248,5.070274963868339e+107,0.2088159961527126,2.4281065901485415e+108,1.00000exp(1.00000x) + 1.00000
249,1.3782436299574147e+108,0.2088093859358,6.600486964609751e+108,1.00000exp(1.00000x) + 1.00000
250,3.7464546145026734e+108,0.2088028143778303,1.7942548454942926e+109,1.00000exp(1.00000x) + 1.00000
251,1.0183919499749154e+109,0.2087962810525644,4.877442954640248e+109,1.00000exp(1.00000x) + 1.00000
252,2.7682763318657856e+109,0.2087897856757481,1.3258677012892463e+110,1.00000exp(1.00000x) + 1.00000
253,7.524955249064026e+109,0.2087833277668015,3.604193557767673e+110,1.00000exp(1.00000x) + 1.00000
254,2.045494911349825e+110,0.2087769069839669,9.79751516055801e+110,1.00000exp(1.00000x) + 1.00000
255,5.5602316477276757e+110,0.2087705229580919,2.663322182147249e+111,1.00000exp(1.00000x) + 1.00000
256,1.5114276650041035e+111,0.2087641753252585,7.239880418415999e+111,1.00000exp(1.00000x) + 1.00000
257,4.10848635681094e+111,0.2087578637235568,1.968063038933717e+112,1.00000exp(1.00000x) + 1.00000
258,1.1168023806191083e+112,0.2087515878036313,5.3499108311916814e+112,1.00000exp(1.00000x) + 1.00000
259,3.0357836172167243e+112,0.2087453472132549,1.454300015662317e+113,1.00000exp(1.00000x) + 1.00000
260,8.25211544181389e+112,0.2087391416071084,3.953314830309177e+113,1.00000exp(1.00000x) + 1.00000
261,2.2431575451828986e+113,0.2087329706475161,1.0746541565639296e+114,1.00000exp(1.00000x) + 1.00000
